"year","bgg_id","designer","num_votes","avg_rating","bayes_rating","novelty_norm","novelty_avg","complexity","game_type","min_players","max_players","category","event_type"
1990,0,"254",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"256",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"267",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"272",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"274",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"27863",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"2868",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"2945",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"296",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"2971",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"2972",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"3073",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"310",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"315",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"316",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"3233",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"335",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"337",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"353",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"361",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"373",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"3793",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"39",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"40",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"406",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"410",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"430",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"434",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"435",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"436",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"440",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"46",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"488",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"4912",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"4935",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"501",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"502",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"5059",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"5060",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"51",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"557",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"55961",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"579",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"58",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"580",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"591",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"5945",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"6269",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"629",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"630",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"636",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"637",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"64",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"642",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
1990,0,"65",0,0.0,0.0,0.0,0.0,0.0,"",0,0,"","add_actor"
